final_text,Sentiment
term condition stock option scheme 2008 available company 's internet page wwwsanomacom,neutral
earnings per share eps amounted eur0 03 loss eur0 08,positive
joint procurement later extended factory baltic country,neutral
adpnews dec 1 2009 finnish cutlery hand tool maker fiskars oyj abp hel fisa said today make redundant total 18 office management staff member subsidiary iittala group ltd,neutral
acquisition sum disclosed,neutral
sale tiimari segment fell 40 % yearonyear eur3 3 june 2010,negative
finnish sampo bank danish danske bank group report profit tax eur 1523 mn 2010 eur 327 mn 2009,positive
revenue grew 12 percent x20ac 36 billion u $ 45 billion,positive
share acquired accordance section 5 rule nasdaq omx helsinki rule applicable acquisition share,neutral
pleased invite join mreal 's international conference call 300 pm eet,neutral
fourth quarter 2008 net sale increased 2 % eur 10507 mn eur 10270 mn fourth quarter 2007,positive
basware headquartered espoo finland,neutral
stock trading map 50day map sek72 983 higher 200day map sek70 283 bullish indicator,positive
order plywood mill machinery equipment announced finnish raute september 2006 delivered thebault plyland france,neutral
swedish player became majority owner ucell mid2007,neutral
result 12 people made redundant total 67 person laid temporarily,negative
$ aapl short term fundredemption liquidation channel cleared soon solid footing $ 520 new floor come july,negative
astrazeneca team daiichi sankyo sell movantik u,positive
nd disclosed,neutral
contract demonstrates ability apply mineral metal technology adjacent industry oil shale processing,positive
stock hit profit warning finnish rival rautaruukki oyj omx rtrks,neutral
empresa de desarrollo urbano de quito innovaruio ecuador commissioned poyry prepare feasibility study new urban rapid mass transit system,neutral
finnish technology company raute corporation omx helsinki rutav issued tuesday 23 september profit warning financial year 2008,neutral
rsa 's share closed 1569 p time going press,neutral
$ rcon upside today thing severe low float catalyst guy run,positive
$ je look like bouncing would nice finish $ 6 today make hammer nice volume 577 bottom finger crossed,positive
audio webcast available live archived cerner 's web site wwwcernercom,neutral
$ aapl goldman sachs reiterates conviction buy apple $ 155 pt $ spy $ djia $ g httpstcoh5hmxsitwm,positive
copying republication redistribution afx news content including framing similar mean expressly prohibited without prior written consent afx news,neutral
ouch look like $ tsla short getting skinned,positive
first two project phase expected completed end 2012,neutral
$ pg ackman making big added efficiency argument betting operational imporvement huge conglomerate go either way imo,positive
operating profit sale threemonth period increased respectively eur0 3 eur13 1 compared corresponding period 2005,positive
end last week protalix biotherapeutics inc amex plx published prospectus first offering amex 5 % share capital,neutral
efore decided establish company eletric vehicle ev business china,neutral
managing director 's comment net sale first quarter notably lower year especially finland russia baltic country,negative
passenger tunnel expected put operation 2009,neutral
tata steel working stanchart uk unit sale source,positive
request finnish medium company alma medium 's newspaper research manager jari kaivooja finland future research centre turku school economics drawn future scenario finland 's national economy using model developed university denver,neutral
result started negotiation bank provisional amendment concerning covenant credit term,neutral
activity range development natural resource retailed marketing finished product,neutral
$ plug closed short position small gain interested option expiring worthless,positive
apple inc iphone wo n't change game plan verizon communication inc chief executive ivan seidenberg said wednesday,neutral
production capacity increase 36 000 85 000 tonne per year raw material continue recycled paper board,positive
astrazeneca sell u drug right perrigo $ 380 mln,positive
short interest increase yet httpstkscoe19h via ryandetrick $ spy,negative
process product order installation separationfiltration equipment three natural gas pipeline project china south america saudi arabia,neutral
$ hznp havent seen vol like since runup let see one dip 20x,negative
subscription increase cargotec 's share capital 36780 euro,positive
diluted earnings per share eps stood eur 025 versus eur 042,neutral
daily mail owner considering yahoo bid $ yhoo 205 % httpstcoextzr1riyp,positive
vessel order help aspo secure longterm competitiveness fleet term technology pricing,positive
second quarter 2009 net sale operator business partner represented 47 % group 's total net sale,neutral
arcelormittal chief executive officer lakshmi mittal already cut output furnace,negative
space blond wood floor unlike rest store notably scandinavian vibe,neutral
proposed consolidation activity impact approximately 30 position,neutral
consumption forecast grow 2 %,positive
update 1eu regulator back approval gsk injectable asthma drug,positive
starbucks downgraded day new downgraded reward program start $ sbux,negative
warmly welcome,neutral
efore 's ceo reijo maihaniemi said company developed already delivered power supply unit respective system based technology chinese sector company zte corp 000063,neutral
earnings per share quarter came 025 eur 020 eur quarter year earlier,positive
export make 80 per cent sale name glaston also reflects truly internationally operating company `` explains kyro 's president ceo mika seitovirta,neutral
ruukki romania local arm finnish metal producer ruukki increased capital 900000 euro $ 114 mln cash contribution reported september 19 2006,positive
global market direct 's pohjola bank plc financial analysis review indepth business financial analysis pohjola bank plc,neutral
sabmiller revenue hit weaker em currency,negative
abb deutsche bank upgraded recommendation swissswedish engineering group abb ltd buy ' hold ',positive
czech republic profiling unit ostrava closed machinery relocated ruukki 's bigger plant hungary poland romania end first quarter 2009,neutral
ackman email say support valeant ceo pearson,positive
floor area yliopistonrinne project 7900 sq 85030 sq ft building 's gross area total 12800 sq total 251 % facility let,neutral
aldata said still number operational aspect defined microsoft detail product market initiative resulting agreement available later date,neutral
nokia share hit 1321 euro friday 50 percent start year part slow introduction touchscreen model,negative
internal revenue service see 20 percent taxpayer wait last two week file 40 million return filed april,neutral
solidium picked tikkurila share dividend book value eur15 80 per share,neutral
bank see potential getinge share rise,positive
finnish food industry company lñnnen tehtaat planning change fish product business,neutral
quarterly diluted eps continuing operation came 021 eur compared last year 's 012 eur,positive
construction work helsinki music centre start autumn total cost project estimated 140 million euro,neutral
1nvestor $ soda 4271 % float short lol httpstkscoe0dfp,negative
tieto latvia represented service company tietoenator alise tietoenator operation industry financial service card retail logistics outsourcing managed service,neutral
citigroup inc nyse c announced global transaction service gts business awarded new mandate finlandbased pohjola bank group,positive
uponor maintains fullyear guidance 2010,neutral
stora enso oyj said secondquarter result would fall half compared period 2007,neutral
latin america currently account approximately 40 % sale tecnotree company president ceo eero mertano recently told bnamericas,neutral
168 asset management expert manage asset worth eur 35 billion,neutral
tesco lead ftse higher clubcard bid report,positive
finnair able operate leisure flight despite strike,positive
nokia 's share price fell less one percent 1870 euro $ 2541 helsinki siemens share fell 102 percent 9019 euro $ 12257 frankfurt,negative
teliasonera 's underlying result however included 457 mln skr positive oneoffs hence adjusted underlying ebitda actually amount 7309 bln skr clearly expectation analyst said,negative
finnish software hardware developer elektrobit oyj hel ebg1v eb said today temporarily lay 200 people maximum 90 day finland aiming achieve cost saving eur 17 million usd 2m second half 2010,negative
operating profit fell eur 79 mn second quarter 2005 eur 51 mn second quarter 2006,negative
compensation news opinion distribution,neutral
revenue grew 1 percent euro742 2 million u $ 964 million euro735 million,positive
seminar memorandum understanding cooperation signed finnish kemira company vietnam national chemical corporation,positive
votorantim celulose e papel vcp part votorantim group major brazilian conglomerate,neutral
finnish company building 800000 mtyear biodiesel plant singapore,neutral
sale comprising margarine business finland poland follows approval polish competition authority earlier october,neutral
plant go stream november 2008 estimated daily production 120000 litre bioethanol,neutral
operating profit excluding nonrecurring item amounted eur 406 mn eur 573 mn yearonyear,negative
group 's revenue amount eur 80 million half accounted export,neutral
far norwegian norske skog reduced staff level 1000 people plan reduce production 200000 ton 2008 finnishswedish stora enso cut staff 1700 people production 500000 ton,negative
lkab headquartered lulea sweden hightech mining company producing upgraded iron ore product steel industry,neutral
want credit card info personal detail,neutral
upmkymmene generated thirtyone consecutive quarter positive ebitda,positive
really surprised much $ fb fallen thought 'd support around 50d guess,negative
operating loss totalled eur 127 mn compared profit eur 177 mn first half 2008,neutral
event also viewed live audio webcast wwwahlstromcom,neutral
operating profit excluding nonrecurring item eur 78 million compared eur 112 million,negative
maximum grade veneer yield calculated based dimension grade veneer product well iterating place peeling ax simulating peeling process,neutral
operating margin came 24 % 57 %,neutral
ukraine act partner major bakery client production product development,neutral
result merger largest professional electronics telecommunication technology contract manufacturing center finland formed sievi,neutral
transaction line aspo 's strategy expand baltic sea region eastern market,positive
merging two free sheet clarify market situation,neutral
arena partner oy development company electronic business,neutral
cramo slipped pretax loss eur 67 million pretax profit eur 589 million,negative
study expected start 2008,neutral
net profit period 2006 366 million euro,neutral
finnish communication electronics component supplier scanfil oyj tuesday said sale first half 2006 15 % lower period year ago,negative
number magazine newspaper reader remained unchanged,neutral
company net sale eur 198 mn pretax profit eur 18 mn 2005,neutral
workforce reduced also amsterdam office netherlands,neutral
yvonne jones owner chameleon interior,neutral
downloadable instruction sheet instructional video project idea awardwinning everywhere punch tm window system found wwwfiskarscom,neutral
2007 talentum disclose three interim report q1 january march friday 27 april 2007 q2 april june friday 20 july 2007 q3 july september friday 26 october 2007,neutral
party also agreed option allow uh extensively implement later also functionality human resource management,positive
london afx intertek group plc testing inspection company said commercial electrical division bought finlandbased company natlabs oy etteplan oyj 13 mln eur cash,neutral
finnair belief strike cause daily net loss excess eur 2mn due canceled reservation passenger rerouting,neutral
nordea see return positive growth baltic country 2011,positive
negotiation concern plant 's department producing winded roving employ 10 people,neutral
poyry plc additional information martin kuzaj president industry business group finland tel 358 10 33 21179 sanna paivaniemi director investor relation poyry plc finland tel 358 10 33 23002 poyry global consulting engineering company dedicated balanced sustainability,neutral
binkster69 's er 's lol looking correlation $ aria foreign price chart poised breakout,positive
rapala vmc corporation stock exchange release october 10 2008 1145 kaupthing bank oyj kapthing `` informed rapala vmc corporation rapala `` interrupted liquidity providing rapala 's share time,neutral
part new strategy finnish biohit planning incorporate diagnostics business separate limited company,neutral
virala oy ab allocated board director amount eur 19 million eur 025 million lower maximum announced 12302010,neutral
juha jordan chief engineer glaston said one reason choosing vacon global ac drive supplier service support centre country glaston operates,positive
another firm air liquide exempted left market 1998,neutral
finnair 's total traffic decreased 87 % term revenue passenger kilometre,negative
reorganisation carried transferring hkscan corporation 's productionrelated property plant equipment finland well holding subsidiary associate hkscan finland oy holding company wholly owned hkscan corporation,neutral
cash flow operation januarydecember 2008 negative eur 181 mn compared eur 390 mn corresponding period 2007,negative
helsinki afx cargotec said bought 95 pct stake indital construction machinery ltd bangalorebased company make fork lift truck mobile crane undisclosed sum,neutral
finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 30 october operating profit eur7 4 januaryseptember 2008 eur6 1 corresponding period 2007,positive
$ dcth near hod,positive
c cabot 's main consumer czech slovak market tire producer barum continental matador continental,neutral
alert new macd signal created $ ctxs buy 7709 time 1823 strength 10 powered httpstco4tdgjedllz,positive
cameco typically price sale contract using 4060 ratio fixed price spot price,neutral
total service concept also includes technology service raute support customer throughout entire life cycle investment,neutral
russia want utilise huge forest reserve different way done far,neutral
based 2005 calendar year combined company eur15 8 bn pro forma annual revenue expected start operation 60000 employee,neutral
diluted earnings per share eps fell eur 063 eur 171,negative
incap furniture presently negotiating staff cut,neutral
$ aapl broke descending channelwill hold,neutral
acquisition expected improve access chrome ore resource turkey,positive
investment place atrium plan expand moscow market,neutral
respondent praised finnair 's reliability finnishness understanding target group,positive
satama earned data management solution competency business intelligence specialization recentlyvia acquisition fimentor oy,positive
aim ensure vacon good shape capital expenditure start pick `` comment vacon plc president ceo vesa laisi,positive
objective trading share commence may 2 2007,neutral
$ tsla x recall big deal problem excuse guide way way lower,neutral
aspocomp said spin chinese indian unit equipment salo plant finland newlyformed unit sell hong konglisted meadville,neutral
first nine month 2010 talvivaara 's net loss narrowed eur 83 million eur 219 million period 2009,positive
subscribe magazine,neutral
janis arbidans ceo yit celtnieciba said company focusing housing real estate development market,neutral
decided auditor reimbursed according invoice,neutral
kalmar espana generated net sale 113 mln euro $ 148 mln 2005,neutral
alexandria va oct 15 aaron moss hampshire great britain developed ornamental design handset u patent trademark office announced,neutral
louiebeene vwap 163 held trend line lot radar $ navb,positive
arm holding plc partner international business machine corp drive,positive
finnish law parliament grant licence build nuclear power plant,neutral
operating profit excluding nonrecurring item totaled eur 54 mn compared eur 55 mn corresponding period 2007,negative
enp newswire 22 march 2011 release date 21032011 total 13000 talvivaara mining company plc 's new share subscribed period 1 january 2011 28 february 2011 company 's stock option right 2007a,neutral
$ cdti bounce support h setup area important bull lose httpstkscoc0mf3,positive
ssh establishes new global sale marketing group led george adam adam establishes global sale marketing group drive worldwide program supporting ssh tectia enterprise security solution,neutral
business divested offer dairy edible fat readymeal icecream packaging multinational local customer,neutral
scope project find costefficient method phosphorous removal deliver storing dosing equipment used continuous operation plant,neutral
microsoft last week also issued first patch window 7 operating system beta released day earlier,neutral
1 block lamp harri koskinen 's light introduced 1996 bestseller ever since,positive
original patent filed finland application,neutral
compared ftse 100 index fell 352 point 06 % day relative price change 06 %,neutral
ruukki 's delivery includes steel structure including installation krakeroy bascule bridge steel pile bridge foundation,neutral
forestry also higher driven yesterday 's bullish analyst comment stora enso dagens industri dealer said,positive
4 january 2011 finnish medium company alma medium corporation hel aln1v said today online recruitment service monster oy partner local newspaper publisher suomen lehtiyhtyma listing job advertisement,neutral
tesla motor recall 2700 model x suv httpstcobfws3dbm0u $ tsla,negative
interim report first quarter published may 8 2009,neutral
agricultural newspaper maaseudun tulevaisuus 318000 reader representing decrease 6 %,negative
finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale totalled eur 947 mn first half 2010 eur 995 mn first half 2009,neutral
group 's net sale 2007 eur683 6,neutral
unit 's client mainly field specialist convenience good well textile shoe furniture business,neutral
mr mcdonald started evening set featuring hit solo career doobie brother year selection rb cover song met mixed result,neutral
sarantel based wellingborough uk design highperformance antenna portable wireless device,neutral
philippine ' san miguel say partner kirin bid sabmiller 's,positive
high court finland fined seven local asphalt company lion $ 117 million operating cartel,negative
net profit fell almost half é 55 million é 94 million end 2007,neutral
$ agn $ pypl pressure along market however bullish option trade morning httpstco9xg5w8nont,neutral
upm stock fell 3 percent euro 1249 $ 1724 early afternoon trading helsinki,neutral
helsinki afx cramo said agreed sell cramo nederland bv cnl dutch machinery equipment rental unit jaston groep undisclosed sum,neutral
stock rose second day wednesday bringing twoday rise gbx12 0 20 %,positive
share capital alma medium corporation business id 19447574 eur 4476751380 divided 74612523 share,neutral
port facility ' throughput 250000 teus 75 mln ton general cargo,neutral
investment disclosed,neutral
operating profit excluding nonrecurring item increased 27 % eur 819 mn eur 644 mn corresponding period 2008,positive
end march 2009 company 's loan amounted eur 10113 mn,neutral
value order eur 30mn,neutral
market making accordance agreement begin september 24 2009,neutral
$ fb popping hod,positive
pleased proud performance last year `` chief executive juha rantanen said statement,positive
order includes steel frame loadbearing roof structure partition wall element rautaruukki said expects complete installation early may next year,neutral
share subscribed stock option registered trade register 20 january 2011 date new share establish shareholder right,neutral
identity buyer yet known,neutral
finnish bank àland 's consolidated net operating profit increased eur 48 mn first quarter 2005 eur 64 mn first quarter 2006,positive
rt robbielolz $ nflx close looking good bull hold position see close keep buying,positive
contract cramo sverige subcontractor brinkab ab provide scaffolding installation lkab 's new pellet plant kiruna northern sweden,positive
copying republication redistribution afx news content inculding framing similar mean expressly prohibited without prior written consent afx news,neutral
make wide range mobile device service software enable people experience music navigation video television imaging game business mobility,neutral
easyjet expects resilient demand withstand security fear,positive
rt jan $ arna n't think buyout rumor strong enough driving yetwhen may fly like aapl fly high,neutral
$ slv 444 % 18 awful 4250,negative
secondary antenna also used reception high power signal radar calibrate transmission channel radar ``,neutral
broker started upmkymmene stora enso sappi equalweight ' recommendation holmen norske skog underweight ' rating,neutral
operating profit margin 83 % compared 118 % year earlier,neutral
market almost completely controlled three bank nordea op bank group sampo,neutral
net profit fell almost half é 55 million é 94 million end 2007,negative
eq bank forecast olvi 's net sale eur 67mn second quarter 2009 operating profit eur 64 mn,neutral
hñkan dahlstrâm head mobility service teliasonera forecast mobile data volume teliasonera network sweden rise eightfold 200000 tb 2014,positive
belarus oao lidskoe pivo brewery based grodno region reported 11 % decrease output 1045 million decaliter januarymarch 2010 representative administration company told,neutral
bridge built south existing bridge spanning strait,neutral
deal significant effect acquiring company 's equity ratio,neutral
risk exposure nonlife insurance moving 12month expense function nonlife insurance excluding expense investment management expense service rendered nonlife insurance investment portfolio allocation,neutral
company also featured ethibel pioneer investment register included innovest 's global 100 list world 's sustainable corporation,positive
value multiyear agreement eur 2mn year,neutral
glencore cut 2015 budget plan divest lonmin,negative
cash flow business operation totalled eur 04 mn compared negative eur 155 mn first half 2008,positive
compared ftse 100 index rose 283 point 05 % day relative price change 23 %,positive
moment valio worried ban continues long may become quite problem,negative
zurich insurance considering offer uk rival rsa insurance,positive
buying eukor car carrier 50 percent stake grimaldi group sole owner swedish rollon rolloff port wallhamn,neutral
destia oy finnish infrastructure construction service company building maintaining designing traffic route industrial traffic environment also complete living environment,neutral
alexandria va march 28 pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset u patent trademark office announced,neutral
also strengthen ruukki 's offshore business,positive
handset maker disclose financial detail,neutral
plant expected start production first half 2007,neutral
restructuring creates efficient organization increased operational focus stable profitability lead efficient production said bo annvik head specialty stainless,positive
electricity requirement network grow new mobile generation,neutral
order intake hand expected stronger 2007,positive
net profit three month march 31 fell x20ac 103 million u $ 165 million x20ac 131 million year earlier finnish company said,negative
chs expo freight major finnish fair exhibition culture logistics company provides logistics service various event land air sea,neutral
change regarding virala oy ab ownership share tiimari taken place,neutral
operating profit totalled eur 211 mn eur 186 mn 2007 representing 97 % net sale,positive
finnish power supply solution system provider efore oyj said net loss widened 32 mln euro $ 42 mln first quarter fiscal 20062007 ending october 31 2007 900000 euro $ 12 mln period fiscal 200506,negative
long $ gpro brealout trade,positive
term condition stock option scheme 2004 available group 's website,neutral
net sale grew period x20ac 402 million $ 585us million x20ac 401 million 2006,positive
operating margin however slipped 144 % 151 % dragged poor performance enterprise solution,negative
trading name velta uk former uponor brand company uponor 's longterm partner supplying veltabranded system particularly commercial industrial building sector uk internationally,neutral
dolce gabbana asked european union declare marimekko corporation 's unikko `` floral pattern trademark invalid continuing dispute two company,neutral
electronic version require 2448 hour copy customized client digital control custom watermark,neutral
contract cover supply temporary heating equipment lkab 's new pellet plant kiruna northern sweden,neutral
latin america currently account approximately 40 % sale finnish bssoss va supplier telecom operator tecnotree company president ceo eero mertano told bnamericas,neutral
operating profit eur 1397 mn 23 % eur 1138 mn,positive
cash flow operation totalled eur 74 mn compared negative eur 686 mn second quarter 2008,positive
present position director stockmann 's international department store,neutral
juniper tumble q1 warning cisco also lower httpstcon8x8bplj1e $ jnpr $ csco,negative
finnish rautaruukki selling precision tube automotive component processing unit carl froh germany german arques industry,neutral
forest certification voluntary system aimed promoting sustainable forest management commercial forest,neutral
product low salt fat content,neutral
update 5sabmiller reject ab inbev 's $ 104 bln takeover approach,positive
poyry plccompany announcement 10 december 2010 410 pm pursuant poyry plc 's stock option program 2004 63 792 new share company subscribed since 27 october 2010 stock option 2004b,neutral
new unit become one largest one within company,neutral
case effect would negative finland,neutral
price delivery volume broadband product decreased significantly 2005,neutral
$ kndi china electriccar maker china car sale 78 % also may feed $ tsla momentum run lately,positive
according bosse present cooperation beneficial party however,positive
cash flow operation rose eur 527 mn eur 156 mn 2007,positive
fiskars brand report net sale eur 1458 mn eur 1384 mn,positive
annual report contains financial statement consolidated financial statement report board director auditor 's report,neutral
cargotec also move hallbergivarsson 's service installation business roof service center kalmar macgregor solution gothenburg,neutral
company 's board director would propose dividend eur0 15 per share 2005,neutral
hand finnish sawmill ' production decreased even,neutral
new deal strengthened partnership telemig celular tecnomen started since beginning telemig 's prepaid operation,positive
tesco lead leap ftse 100 mark spencer drop,positive
rising cost forced packaging producer huhtamaki axe 90 job hampshire manufacturing plant,neutral
company design manufacture market advanced composite product industrial application consumer good crosscountry alpine nordic walking pole floorball stick antenna radome,neutral
unilever 's turun sinappi made sweden hold 40 % market,neutral
thus group 's balance sheet eur25 8 goodwill 2010 company added,neutral
vanhanen said strike would extremely damaging `` 1300 participant reporter begin arrive finland oneday eu summit russian president vladimir putin lahti 100 kilometer 60 mile north helsinki,neutral
border guard service banned mooring company carshipping ferry test travel railroadcar terminal russian port border checkpoint yet ready,negative
financing project come mainly china,neutral
purchase operation part yit 's strategy expand offering building system service geographically ``,positive
finnish government announced wednesday sold 32 percent stake chemical fertilizer group kemira oyj x20ac 6556 million $ 890us million sending company 's share price 6 percent,positive
fair value company 's investment property went eur2 769 bn end september 2009 eur2 878 bn year earlier,negative
upmkymmene generated seventeen consecutive quarter positive cash flow operation,positive
konecranes oyj kcr1v fh fell 55 percent 2051 euro biggest fall since june,neutral
capman said deal 's effect cash flow 2009 total eur3 4 transaction would affect financial result 2009 executed fair value,neutral
vianor sell tire car truck well range car part provides maintenance service,neutral
patrick jeambar also continue responsible innovation health safety environment hsea function ahlstrom corporation,neutral
founded 1946 strand associate provides civil environmental transportation electrical mechanical engineering service 350 employee 10 office wisconsin alabama illinois indiana kentucky ohio,neutral
royal mail share price rally amid positive broker comment,positive
share standard chartered stan rose 12 % ftse 100 royal bank scotland rb share rose 2 % barclays share barc bcs 17 %,positive
purpose possible acquisition pkc would establish subsidiary poland,neutral
main business area glass machinery group glaston technology global market leader glass processing machine,positive
operating profit fell eur 203 mn eur 742 mn second quarter 2008,negative
lithuanian beer maker sold 25688 million liter beer 2005 rise 45 per cent yearearlier figure 24592 million liter,positive
negotiation carried constructive manner party tried find solution situation,positive
result company currently anticipates net sale increase operating result positive,positive
company confirmed estimate lower revenue whole 2009 yearago eur93 9 given interim report 5 august 2009,negative
company 's model based developer contracting construction project customer focused project management,neutral
seawind en route finnish port turku stockholm got stuck ice already around 4 pm wednesday regal star 's journey swedish port kapellskar paldiski northwestern estonia cut short 2 thursday,negative
operating loss amounted eur 07 mn compared profit eur 08 mn second quarter 2005,neutral
finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale eur 496 mn first quarter 2009 per cent smaller corresponding period 2008,neutral
sale result capital loss eur5m solidium obtained tikkurila share march 2010,negative
price talk midmarket swap plus 105 bps area lead barclays bnpp ubs cba,neutral
speaking justdrinks today spokesperson olvi said performed well four country operate namely finland estonia latvia lithuania ``,positive
planned set class business center two top storey complex,neutral
$ cnp sell short position cnpclosed profit $ 5936700 775 % httpstkscoghjc,positive
commented 's time embrace dividend growth httpstcowc2qfp79tn $ abbv $ csco $ wyn,positive
caixabank do santos agree plan bpi angola exposure,positive
affecto provide new efi data warehouse reporting solution behavioural scoring system supporting operational decision process data migration old legacy system new efi system,neutral
need malware removal tool type url vendor choice directly browser bar use link website `` wrote trend micro 's rik ferguson monday,neutral
however growth margin slowed due financial crisis,negative
increase number share based option right granted management company stock option plan 2006,neutral
share subscription period c option commence 1 september 2008 expire 31 march 2011,neutral
device also used theft protection positioning vehicle boat asset,neutral
cohen steer inc 5 534 530 share representing 4985 % share capital voting right,neutral
fastjet slam easyjet founder stelios going public 'taking legal advice ' letter contractual,negative
total operating revenue grew 276 % yearonyear eur61m,positive
companiesactelion share hit record shire takeover talk,positive
due rapid expansion market share tallink term passenger carriage tallinna sadam port tallinn totaled 55 percent november 457 percent november 2005,positive
based strong customer interest feedback using rpm mobile phone manufacturer operator enterprise developer forum significantly increase product service quality userexperience costefficiency `` tulonen continues,positive
cramo plc service company specialising construction machinery equipment rental rentalrelated service well rental sale modular space,neutral
finnish electronics contract manufacturer scanfil report net sale eur 589 mn second quarter 2007 eur 624 mn year earlier,negative
thus group 's balance sheet eur25 8 goodwill company added,neutral
total 165 mn passenger ship journey took place northern baltic sea 2007 slightly 165 mn 2006,negative
among scandinavian company present st petersburg also named swedish concern ncc implement project field asphalt production road housing construction project swedish krona,neutral
$ amzn long earnings look good 600,positive
operating loss totalled eur 09 mn profit eur 27 mn,negative
update 2pricey beer lift sabmiller 's quarterly underlying sale,positive
operating loss pulp paper machinery unit eur 3mn september 2007 august 2008 compared profit eur 37 mn year earlier,neutral
ruling set lower limit potential fine bp,negative
major order india comptel corporation received significant longterm order mediation provisioning solution used leading operator india,positive
citrix system inc $ ctxs position increased mizuho httpstcov7lkq08flp sharestocknews,positive
finnair 's tallinnbased subsidiary aero carried 23335 passenger decline 608 % route helsinki baltic capital within southern finland,negative
also construction expense gone russia,negative
30 november 2009 finnish office furniture maker martela oyj hel mara said today make redundant three people nine laid permanently company 's office staff factory worker,negative
local government commissioner àmñl kurt svensson say contact management finnish company componenta find alternative company 's decision close plant àmñl,neutral
result share issue number company 's share increase 391630 share share capital total eur 1566520,neutral
capman six investment area capman buyout capman technology capman life science capman russia capman public market capman real estate dedicated team fund,neutral
combined net sale 2006 $ 27 million ebitda $ 137 million,neutral
finlandbased stockmann group closed seven franchising sport store nike russia,neutral
key geographical market europe russian federation middleeast southafrica japan,neutral
januarynovember 2009 group 's sale totalled eur 78017 mn drop 126 % period 2008,neutral
finnish diversified holding company aspo oyj said september 8 2008 sell finnish tape business kaukomarkkinat unit local oy telpak ab,neutral
phew far good $ bbry break 1040 coz told key support level,positive
uncommonly weak snow condition nearly every market affected first quarter result `` chief executive roger talermo said,negative
$ tsla stock gaining steam plus notable move week httpstcohz0wdp5za1,positive
value order usd 22 mn,neutral
combine renew content functionality current system funding online service well maintenance,positive
thanks wide contact network good knowledge market business environment give great contribution development indian operation `` tell incap 's president ceo juhani hanninen,positive
restructuring measure affect production packaging printing material,neutral
serial bond part plan refinance shortterm credit facility,neutral
net cash flow operating activity negative eur 31 mn compared eur 233 mn corresponding period 2009,negative
leading private road ambulance service company finland,positive
$ idcc $ 89 share total value company crunching 's 4g technology diamond rough,positive
operating loss landed eur39m including oneoffs eur27m excluding oneoffs,neutral
$ wft closng higher,positive
sale price sale gain 31 mln euro $ 45 mln recognized incap 's earnings 2007,positive
adp news apr 22 2009 finnish business information system developer solteq oyj hel stq1v said today net loss widened eur 189000 usd 245000 first quarter 2009 eur 10000 peri,neutral
mr lee said hoped neste 's move pave way collaboration project two country ',positive
sanoma corporation want new better frequency helsinki metropolitan area,neutral
aim understand different traffic pattern based use building,neutral
newly created position established strengthen amer sport ' management strategic planning execution,positive
finnish airline finnair starting temporary layoff cabin crew february 2010,negative
$ atvi ooks pretty bullish shortterm perspective 's got good chance maybe sliding back 3370 stock investing,positive
operating profit grain trading increased eur 20 mn eur 14 mn 2005,positive
export declined 6 percent 164 million liter,neutral
koduextra operating retail chain 11 store controlled finnish nonfood center ky rukax oy scantukka oy,neutral
uranium found locally naturally occurring make sense extract way metal ``,neutral
party agreed disclose transaction value,neutral
elcoteq 's electronics manufacturing service em business segment serf customer globally engineering manufacturing fulfillment service,neutral
$ hpq say breakup cost billion see saving httpstkscop27hz,negative
entering long lockheed martin $ lmt thursday 's open httpstkscoexta,positive
$ sd 146 % 1532 picking speed may 16 call 35 % 19 httpstksco3eik next week $ 16 call 11c httpstksco3eil,positive
business idea budget sport offer customer wide range highquality sport equipment clothing low price company said,neutral
joint venture planning quick timetable negotiating lease potential wind farm area charting feasibility wind farm,neutral
tallink silja attribute significant drop problem booking system taken operation october sale trailer ferry sky wind ' route stockholm riga passenger helsinkistockholm route,negative
profit period eur 109 mn eur 143 mn 2009,negative
company 's share listed mid cap segment nasdaq omx helsinki,neutral
net income life insurance doubled eur 68 mn eur 32 mn net income nonlife insurance rose eur 52 mn eur 15 mn corresponding period 2009,positive
longpos $ tsla 256 breakout thru 50 200 dma 197230 upper head re 274279 short squeeze progress nr term obj 310 stop loss239,positive
$ tsla dipping testing 200 day httpstcojeplmzqkgw,positive
cablevision system corp cvc madison square garden division owns operates new york knickerbockers basketball team also madison square garden arena new york ranger hockey team new york liberty woman 's basketball team hartford wolf pack hockey team,neutral
production plant based neste oil 's proprietary technology use flexible input vegetable oil animal fat,neutral
part eseries business promise nokia e50 equipped variety email solution small stylised package `` said dave grannan general manager enterprise solution nokia,neutral
$ ilmn piper jeffries raise pt remain long,positive
pierrules $ siri long,positive
ecommerce site flagship managed marimekko north america retail llc subsidiary established u last year,neutral
boomerang boat net sale eur 41 mn made operating profit eur 04 mn 2006,neutral
shipyard hope regional government andalusia offer form financial support,neutral
cent profile contains business operation company history major product service prospect key competitor structure key employee location subsidiary,neutral
$ skh httpstksco163e long setup watch continuation volume expansion hot sector,positive
following demerger vice president group 's pharmaceutical trade finland jukka niemi appointed managing director oriola addition current responsibility,neutral
delivery expected take place later month,neutral
